ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG0917063C,AGAP004677,157496,181213,0,1.64933812957573e-05
2L,EOG091705C2,AGAP004678,203866,204956,0,1.64933812957573e-05
2L,EOG091704OY,AGAP004679,208417,210276,0,1.64933812957573e-05
2L,EOG091709JI,AGAP004680,271285,271815,0,1.64933812957573e-05
2L,EOG09170387,AGAP004682,433503,461082,0,1.64933812957573e-05
2L,EOG091701WO,AGAP004683,485737,488369,0,1.64933812957573e-05
2L,EOG09170AW4,AGAP004684,493039,493543,0,1.64933812957573e-05
2L,EOG09170156,AGAP004685,493633,497560,0,1.64933812957573e-05
2L,EOG091703UY,AGAP004686,742521,747021,0,1.64933812957573e-05
2L,EOG09170A9V,AGAP004688,1018044,1019196,0,1.64933812957573e-05
2L,EOG091703DI,AGAP004689,1052326,1056900,0,1.64933812957573e-05
2L,EOG09170A87,AGAP004690,1133189,1133669,0,1.64933812957573e-05
2L,EOG091704KA,AGAP004691,1272628,1290444,0,1.64933812957573e-05
2L,EOG091700EM,AGAP004692,1411121,1441196,0,1.64933812957573e-05
2L,EOG091701PE,AGAP004693,1527686,1533479,0,1.64933812957573e-05
2L,EOG091703F4,AGAP004694,1595176,1602225,0,1.64933812957573e-05
2L,EOG091706W9,AGAP004695,1834222,1835398,0,1.64933812957573e-05
2L,EOG091705TA,AGAP004698,1969201,1970850,0,1.64933812957573e-05
2L,EOG091701ZD,AGAP004699,1974042,1976357,0.267,1.64933812957573e-05
2L,EOG091706CK,AGAP004700,2013727,2014922,0,1.64933812957573e-05
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG091702MH,AGAP004726,2805466,2807762,0,0.000714348352236392
2L,EOG091704QE,AGAP004727,2812213,2814510,0,0.000714348352236392
2L,EOG091707FR,AGAP004728,2824043,2831367,0,0.000714348352236392
2L,EOG091703IB,AGAP004729,2845174,2847278,0,0.000714348352236392
