ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG0917022Y,AGAP005745,20170372,20172174,0,0.00814403317815804
2L,EOG091704DJ,AGAP005746,20175872,20178440,0,0.00814403317815804
2L,EOG091701LP,AGAP005747,20186399,20189287,0,0.00814403317815804
2L,EOG091701SV,AGAP005748,20191213,20195631,0,0.00814403317815804
2L,EOG0917071U,AGAP005749,20197544,20199016,0,0.00814403317815804
2L,EOG0917037S,AGAP005750,20200997,20202750,0,0.00814403317815804
2L,EOG091700FP,AGAP005752,20205678,20207405,0,0.00814403317815804
2L,EOG091703DT,AGAP005753,20208544,20210366,0,0.00814403317815804
2L,EOG091702VJ,AGAP005754,20211271,20213038,0,0.00814403317815804
2L,EOG091700AC,AGAP005757,20290261,20293649,0,0.00814403317815804
2L,EOG091703A4,AGAP005758,20296262,20298623,0,0.00814403317815804
2L,EOG091704MG,AGAP005760,20326884,20328593,0,0.00814403317815804
2L,EOG091702RZ,AGAP005761,20336663,20338822,0,0.00814403317815804
2L,EOG0917082Q,AGAP005762,20339589,20348922,0,0.00814403317815804
2L,EOG09170070,AGAP005765,20364514,20373012,0,0.00814403317815804
2L,EOG0917084G,AGAP005769,20390886,20391635,0,0.00814403317815804
2L,EOG09170036,AGAP005771,20415519,20425711,0,0.00814403317815804
2L,EOG091707LV,AGAP005773,20436943,20492981,0,0.00814403317815804
2L,EOG091702Y8,AGAP005774,20455252,20464290,0,0.00814403317815804
2L,EOG091707NV,AGAP005775,20498451,20499992,0.34,0.00814403317815804
2L,EOG09170APE,AGAP005776,20502083,20502678,0,0.00814403317815804
2L,EOG09170336,AGAP005778,20521842,20523564,0,0.00814403317815804
2L,EOG09170BDV,AGAP005779,20528906,20529407,0,0.00814403317815804
2L,EOG091703H3,AGAP005780,20538082,20543536,0,0.00814403317815804
2L,EOG091702M1,AGAP005781,20547013,20549012,0.842,0.00814403317815804
2L,EOG091705YM,AGAP005782,20549381,20550527,0.32,0.00814403317815804
2L,EOG0917056K,AGAP005784,20583067,20600710,0.338,0.00814403317815804
2L,EOG09170A7Y,AGAP005786,20628723,20629837,0,0.00814403317815804
2L,EOG0917086S,AGAP028396,20662091,20662957,0.394,0.00814403317815804
2L,EOG091700C4,AGAP005789,20673196,20677679,0.258,0.00814403317815804
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG09170795,AGAP005790,20714240,20714995,0,0
2L,EOG091707EW,AGAP005793,20768071,20769993,0.553,0
2L,EOG0917070R,AGAP005794,20816197,20838668,0,0
2L,EOG091702UQ,AGAP005795,20893392,20935097,0,0
2L,EOG091700QE,AGAP005796,20952855,20976176,0,0
2L,EOG091704EG,AGAP005797,21037465,21038719,0,0
2L,EOG091707HV,AGAP005799,21042257,21163656,0,0
2L,EOG0917020D,AGAP005800,21192433,21194761,0.76,0
2L,EOG091708CK,AGAP005801,21196328,21197032,0.593,0
2L,EOG091701L2,AGAP005803,21202719,21236613,0.516,0
2L,EOG091704BA,AGAP005805,21358697,21360461,0,0
