ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG0917011F,AGAP000189,3085239,3090293,0,0
X,EOG091708YL,AGAP000190,3120259,3158051,0,0
X,EOG091701D9,AGAP000193,3181145,3184530,0,0
X,EOG091700IF,AGAP000195,3202676,3209237,0,0
X,EOG0917029F,AGAP000196,3211890,3214319,0,0
X,EOG091703HR,AGAP000199,3260150,3264030,0,0
X,EOG0917033K,AGAP000200,3266605,3275243,0,0
X,EOG0917089L,AGAP000201,3279676,3280497,0,0
X,EOG091701JC,AGAP000203,3364642,3371951,0,0
X,EOG09170A8S,AGAP000204,3375926,3376759,0,0
X,EOG091700G2,AGAP000205,3395897,3424545,0,0
X,EOG09170536,AGAP000207,3430209,3452324,0,0
X,EOG09170183,AGAP000209,3463792,3475668,0,0
X,EOG091703BI,AGAP000210,3477214,3479109,0,0
X,EOG091700T3,AGAP000211,3480557,3482502,0,0
X,EOG091701YD,AGAP000214,3484493,3493483,0,0
X,EOG091705HU,AGAP000213,3485522,3486679,0.299,0
X,EOG091706KQ,AGAP000215,3572299,3581714,0,0
X,EOG091703FO,AGAP000216,3612278,3613944,0,0
X,EOG091701MG,AGAP000217,3631408,3638938,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG0917087G,AGAP000392,7190704,7191389,0,0
X,EOG091706KB,AGAP000393,7194615,7195860,0,0
X,EOG091704Y7,AGAP000394,7199604,7201387,0,0
X,EOG091700ZE,AGAP013009,7206188,7213763,0,0
X,EOG091707JE,AGAP000396,7240025,7240911,0,0
X,EOG0917024X,AGAP000397,7243064,7245602,0,0
X,EOG0917061N,AGAP000398,7247165,7248423,0,0
X,EOG091709F8,AGAP000399,7252741,7269894,0,0
X,EOG0917060Y,AGAP000400,7273127,7275829,0,0
X,EOG091706O8,AGAP000401,7276546,7277421,0.874,0
X,EOG091706Y0,AGAP000402,7279056,7279974,0,0
X,EOG091704YA,AGAP000403,7288463,7291716,0,0
X,EOG091702HU,AGAP000405,7299356,7303497,0,0
X,EOG091700JZ,AGAP000406,7310660,7318863,0,0
X,EOG091702P1,AGAP000407,7326460,7331183,0,0
X,EOG091706NF,AGAP000408,7334403,7335498,0.262,0
X,EOG091702Z2,AGAP000411,7378463,7382141,0,0
X,EOG091703JI,AGAP000412,7386318,7391029,0,0
X,EOG091700VY,AGAP000413,7395054,7400773,0,0
X,EOG091705VZ,AGAP000414,7403129,7404268,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091703SC,AGAP000474,8221968,8225382,0.479,0
X,EOG091705X1,AGAP013210,8242006,8255650,0,0
X,EOG091702JS,AGAP000476,8271710,8275820,0,0
X,EOG091705OD,AGAP000478,8423228,8424268,0,0
X,EOG091704WO,AGAP000479,8426440,8427705,0,0
X,EOG0917058F,AGAP000480,8427945,8429151,0,0
