ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG0917063C,AGAP004677,157496,181213,0,0
2L,EOG091705C2,AGAP004678,203866,204956,0,0
2L,EOG091704OY,AGAP004679,208417,210276,0,0
2L,EOG091709JI,AGAP004680,271285,271815,0.288,0
2L,EOG09170387,AGAP004682,433503,461082,0,0
2L,EOG091701WO,AGAP004683,485737,488369,0,0
2L,EOG09170AW4,AGAP004684,493039,493543,0,0
2L,EOG09170156,AGAP004685,493633,497560,0,0
2L,EOG091703UY,AGAP004686,742521,747021,0,0
2L,EOG09170A9V,AGAP004688,1018044,1019196,0.467,0
2L,EOG091703DI,AGAP004689,1052326,1056900,0,0
2L,EOG09170A87,AGAP004690,1133189,1133669,0,0
2L,EOG091704KA,AGAP004691,1272628,1290444,0,0
2L,EOG091700EM,AGAP004692,1411121,1441196,0,0
2L,EOG091701PE,AGAP004693,1527686,1533479,0,0
2L,EOG091703F4,AGAP004694,1595176,1602225,0,0
2L,EOG091706W9,AGAP004695,1834222,1835398,0,0
2L,EOG091705TA,AGAP004698,1969201,1970850,0,0
2L,EOG091701ZD,AGAP004699,1974042,1976357,0,0
2L,EOG091706CK,AGAP004700,2013727,2014922,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG091706YZ,AGAP004851,4463307,4464450,0,1.03658826436576e-06
2L,EOG091700FG,AGAP004852,4468458,4474213,0,1.03658826436576e-06
2L,EOG09170241,AGAP004853,4476884,4479415,0,1.03658826436576e-06
2L,EOG091700FS,AGAP004854,4484191,4489084,0,1.03658826436576e-06
2L,EOG091704B4,AGAP004855,4492324,4493945,0,1.03658826436576e-06
2L,EOG091704I9,AGAP004856,4495104,4496644,0,1.03658826436576e-06
2L,EOG091700UE,AGAP004858,4498818,4500330,0,1.03658826436576e-06
2L,EOG091706R4,AGAP004859,4502064,4503060,0,1.03658826436576e-06
2L,EOG091706U5,AGAP004861,4512483,4516244,0,1.03658826436576e-06
2L,EOG091701KF,AGAP004862,4554530,4565883,0,1.03658826436576e-06
2L,EOG0917031O,AGAP004864,4586760,4591451,0.492,1.03658826436576e-06
2L,EOG0917083B,AGAP004865,4599569,4619863,0,1.03658826436576e-06
2L,EOG091700K0,AGAP004866,4667808,4675971,0,1.03658826436576e-06
2L,EOG09170BLX,AGAP004867,4677046,4677716,0,1.03658826436576e-06
2L,EOG091704S6,AGAP004868,4680511,4691928,0,1.03658826436576e-06
2L,EOG091700LD,AGAP004870,4692754,4697401,0,1.03658826436576e-06
2L,EOG0917072J,AGAP004871,4749123,4756753,0,1.03658826436576e-06
2L,EOG091704UW,AGAP004872,4760912,4762132,0,1.03658826436576e-06
2L,EOG091700OO,AGAP004873,4769361,4800301,0,1.03658826436576e-06
2L,EOG091701LJ,AGAP004874,4821176,4825510,0,1.03658826436576e-06
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG0917080V,AGAP004899,5627162,5628862,0,0
2L,EOG091706WJ,AGAP004900,5634319,5649497,0,0
2L,EOG091707MV,AGAP004903,5769012,5769799,0,0
2L,EOG0917031R,AGAP004904,5772129,5780988,0,0
2L,EOG091704IA,AGAP004905,5783830,5790233,0,0
2L,EOG091709NT,AGAP004906,5793410,5793967,0,0
2L,EOG09170AEV,AGAP004907,5801332,5801760,0,0
2L,EOG091703SL,AGAP004908,5802380,5804014,0,0
2L,EOG0917043G,AGAP004909,5815587,5817206,0,0
2L,EOG091705VY,AGAP004910,5818356,5819474,0,0
2L,EOG091708S5,AGAP004911,5822235,5822840,0,0
2L,EOG0917039D,AGAP004912,5826410,5831336,0.263,0
2L,EOG091705UO,AGAP004913,5844430,5845398,0,0
2L,EOG09170498,AGAP004914,5862363,5863688,0,0
2L,EOG091701AG,AGAP004916,5996795,5997795,0.532,0
2L,EOG091706XD,AGAP004920,6046958,6047946,0,0
2L,EOG091707MD,AGAP004921,6048236,6049215,0,0
2L,EOG091705QU,AGAP004923,6087277,6104141,0,0
2L,EOG091709VK,AGAP004928,6110338,6112146,0,0
2L,EOG091708RB,AGAP004929,6114489,6115455,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
2L,EOG091700DZ,AGAP004981,7503467,7505872,0,0
