ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG0917030I,AGAP000269,4978232,4981231,0,0
X,EOG0917068K,AGAP000270,4983591,4984862,0,0
X,EOG091700XB,AGAP000271,4987361,4991997,0.626,0
X,EOG091708U6,AGAP000272,4994678,4995298,0,0
X,EOG0917008G,AGAP000273,4997982,5005742,0,0
X,EOG0917090T,AGAP000274,5006238,5006775,0,0
X,EOG091706B5,AGAP000277,5028370,5031736,0,0
X,EOG091709Y0,AGAP000278,5035500,5035999,0,0
X,EOG0917024B,AGAP000280,5040487,5042835,0,0
X,EOG0917078O,AGAP000281,5046312,5068835,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG09170A00,AGAP000415,7404437,7405054,0,0
X,EOG091706BK,AGAP000416,7437094,7438072,0,0
X,EOG091703EO,AGAP000420,7545200,7550460,0,0
X,EOG09170764,AGAP000421,7554571,7560998,0,0
X,EOG09170ASD,AGAP000425,7614019,7615753,0,0
X,EOG091708XO,AGAP000426,7618255,7618858,0.286,0
X,EOG0917006X,AGAP000427,7623873,7631089,0,0
X,EOG091703YU,AGAP000428,7633543,7637519,0,0
X,EOG091701E7,AGAP000429,7638335,7644733,0,0
X,EOG091702OH,AGAP000430,7646486,7649633,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091703EY,AGAP000534,9555424,9565114,0,0
X,EOG091702BZ,AGAP013287,9580397,9585551,0,0
X,EOG091702I7,AGAP000535,9591119,9594691,0,0
X,EOG091706G6,AGAP012976,9601195,9615369,0,0
X,EOG091708C5,AGAP000536,9622662,9623406,0,0
X,EOG091709E3,AGAP000537,9628331,9630253,0.503,0
X,EOG09170ARU,AGAP000538,9631418,9634853,0,0
X,EOG0917015K,AGAP000539,9649892,9653790,0,0
X,EOG091703W2,AGAP000540,9667147,9670481,0,0
X,EOG091703J6,AGAP013055,9691789,9777248,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG0917097T,AGAP000543,9799822,9802202,0,0
X,EOG091700HQ,AGAP000545,9814281,9820409,0,0
X,EOG09170B0E,AGAP000546,9828286,9828754,0,0
X,EOG0917041U,AGAP000547,9831843,9833441,0,0
X,EOG091705YK,AGAP000548,9838307,9839464,0,0
X,EOG091704CM,AGAP000549,9839943,9843691,0,0
X,EOG091700GD,AGAP000550,9847202,9853829,0,0
X,EOG0917013P,AGAP000551,9857661,9862680,0,0
X,EOG09170171,AGAP000552,9865700,9869766,0.669,0
X,EOG09170268,AGAP000553,9877761,9884240,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091701A8,AGAP000575,10113259,10132209,0,0
X,EOG091700JE,AGAP000576,10135398,10146715,0,0
X,EOG091701K8,AGAP000577,10149615,10156281,0,0
X,EOG0917021C,AGAP000578,10169730,10173933,0.85,0
X,EOG091700KB,AGAP000579,10177933,10183042,0,0
X,EOG091706MR,AGAP000580,10205844,10206981,0,0
X,EOG091706Q4,AGAP000585,10410448,10477827,0,0
X,EOG091703RI,AGAP000587,10498796,10500896,0,0
X,EOG091708GW,AGAP000588,10517879,10519519,0,0
X,EOG0917028G,AGAP000589,10529348,10531097,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091702HZ,AGAP000714,12757892,12760135,0.483,0
X,EOG091703RR,AGAP013520,12767186,12769138,0,0
X,EOG091700WD,AGAP013172,12771474,12773520,0,0
X,EOG09170A9V,AGAP013040,12801701,12802804,0,0
X,EOG091705I3,AGAP000715,12859844,12886948,0,0
X,EOG091702P8,AGAP000717,13042760,13046835,0,0
X,EOG091702DR,AGAP000718,13057069,13066946,0,0
X,EOG0917047K,AGAP000719,13067687,13073294,0,0
X,EOG091700N3,AGAP000720,13096618,13124464,0,0
X,EOG091705GG,AGAP000721,13134120,13136720,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091703SN,AGAP000723,13142832,13150270,0,0
X,EOG091703QS,AGAP000724,13154935,13156918,0,0
X,EOG091706G3,AGAP000725,13159583,13160697,0.331,0
X,EOG091707HS,AGAP000728,13240275,13249547,0,0
X,EOG091703CO,AGAP000732,13402820,13404913,0,0
X,EOG091706K8,AGAP000733,13412128,13413479,0,0
X,EOG091706NE,AGAP000734,13417984,13420093,0,0
X,EOG09170712,AGAP000736,13432331,13433400,0,0
