ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091700HV,AGAP000178,2987173,2991824,0,0
X,EOG091702ZH,AGAP000179,2993095,2995080,0,0
X,EOG091704AE,AGAP000180,3000246,3001769,0,0
X,EOG0917047N,AGAP000181,3004280,3005691,0,0
X,EOG0917065Q,AGAP000182,3006724,3008351,0,0
X,EOG091702I4,AGAP000184,3012930,3021325,0,0
X,EOG091701UA,AGAP000185,3032330,3041573,0,0
X,EOG091708E9,AGAP000186,3059627,3060339,0,0
X,EOG091701BO,AGAP000187,3062205,3067403,0,0
X,EOG091705O9,AGAP000188,3076390,3080156,0,0
X,EOG0917011F,AGAP000189,3085239,3090293,0,0
X,EOG091708YL,AGAP000190,3120259,3158051,0,0
X,EOG091701D9,AGAP000193,3181145,3184530,0,0
X,EOG091700IF,AGAP000195,3202676,3209237,0,0
X,EOG0917029F,AGAP000196,3211890,3214319,0,0
X,EOG091703HR,AGAP000199,3260150,3264030,0,0
X,EOG0917033K,AGAP000200,3266605,3275243,0.797,0
X,EOG0917089L,AGAP000201,3279676,3280497,0,0
X,EOG091701JC,AGAP000203,3364642,3371951,0,0
X,EOG09170A8S,AGAP000204,3375926,3376759,0,0
X,EOG091700G2,AGAP000205,3395897,3424545,0,0
X,EOG09170536,AGAP000207,3430209,3452324,0,0
X,EOG09170183,AGAP000209,3463792,3475668,0,0
X,EOG091703BI,AGAP000210,3477214,3479109,0,0
X,EOG091700T3,AGAP000211,3480557,3482502,0,0
X,EOG091701YD,AGAP000214,3484493,3493483,0,0
X,EOG091705HU,AGAP000213,3485522,3486679,0,0
X,EOG091706KQ,AGAP000215,3572299,3581714,0,0
X,EOG091703FO,AGAP000216,3612278,3613944,0,0
X,EOG091701MG,AGAP000217,3631408,3638938,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091703HX,AGAP000293,5199638,5204600,0,0
X,EOG09170648,AGAP000294,5276738,5278291,0,0
X,EOG09170ACG,AGAP000295,5299820,5307551,0,0
X,EOG091709HL,AGAP000297,5318993,5319705,0,0
X,EOG09170034,AGAP000300,5338077,5360330,0,0
X,EOG091701CJ,AGAP000301,5346135,5352888,0,0
X,EOG0917015P,AGAP000303,5365577,5371383,0,0
X,EOG091706NL,AGAP000304,5403237,5404439,0,0
X,EOG0917066P,AGAP000305,5410362,5410931,0,0
X,EOG09170ARN,AGAP000306,5417659,5421738,0,0
X,EOG09170508,AGAP013049,5424342,5424896,0,0
X,EOG091700V0,AGAP000307,5433339,5444836,0,0
X,EOG0917075K,AGAP000308,5448455,5449323,0,0
X,EOG091701HJ,AGAP000309,5452491,5458462,0,0
X,EOG091705EC,AGAP000310,5468373,5469640,0,0
X,EOG091704W6,AGAP000311,5474544,5478871,0,0
X,EOG091702OD,AGAP013392,5481480,5483944,0,0
X,EOG0917072N,AGAP000312,5489431,5491324,0,0
X,EOG091703NL,AGAP000313,5496173,5503551,0,0
X,EOG091700DH,AGAP000314,5511709,5522791,0,0
X,EOG09170836,AGAP000316,5543786,5544442,0,0
X,EOG091707KM,AGAP000317,5610066,5616769,0,0
X,EOG0917026E,AGAP000320,5680966,5695273,0,0
X,EOG091702F6,AGAP000321,5706423,5711189,0,0
X,EOG091708W5,AGAP013441,5714869,5717258,0,0
X,EOG09170776,AGAP000322,5719913,5720938,0,0
X,EOG091700EA,AGAP000323,5721025,5732100,0,0
X,EOG091707ZE,AGAP000324,5733436,5734476,0,0
X,EOG091704QF,AGAP013047,5737242,5739184,0.876,0
X,EOG0917033H,AGAP000325,5743807,5746073,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091702O9,AGAP000365,6766782,6768196,0,0
X,EOG091708W9,AGAP000366,6771370,6771729,0,0
X,EOG0917001Y,AGAP000368,6777394,6802684,0,0
X,EOG091703X7,AGAP000369,6791093,6793207,0,0
X,EOG0917030E,AGAP000372,6807972,6813218,0,0
X,EOG0917091Y,AGAP000375,6864496,6865545,0,0
X,EOG091702S9,AGAP000376,6869878,6872834,0,0
X,EOG0917033Z,AGAP000377,6873929,6876076,0,0
X,EOG091704SJ,AGAP000378,6881545,6891611,0,0
X,EOG091704EP,AGAP000379,6897856,6899358,0,0
X,EOG091702AS,AGAP000380,6905029,6920913,0,0
X,EOG09170C23,AGAP000382,6943073,6944078,0,0
X,EOG091709IZ,AGAP013067,6949971,6953980,0,0
X,EOG091705ZW,AGAP000383,6974259,7037977,0,0
X,EOG091700HF,AGAP000384,7063083,7070395,0,0
X,EOG091701UK,AGAP000385,7075409,7082684,0,0
X,EOG091701Z6,AGAP000386,7083142,7096399,0,0
X,EOG091703I6,AGAP000388,7118528,7120376,0,0
X,EOG09170064,AGAP000389,7124538,7145292,0,0
X,EOG091702PM,AGAP000391,7185243,7188050,0,0
X,EOG0917087G,AGAP000392,7190704,7191389,0.803,0
X,EOG091706KB,AGAP000393,7194615,7195860,0,0
X,EOG091704Y7,AGAP000394,7199604,7201387,0,0
X,EOG091700ZE,AGAP013009,7206188,7213763,0,0
X,EOG091707JE,AGAP000396,7240025,7240911,0,0
X,EOG0917024X,AGAP000397,7243064,7245602,0,0
X,EOG0917061N,AGAP000398,7247165,7248423,0,0
X,EOG091709F8,AGAP000399,7252741,7269894,0,0
X,EOG0917060Y,AGAP000400,7273127,7275829,0,0
X,EOG091706O8,AGAP000401,7276546,7277421,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG0917002D,AGAP000443,7797031,7815108,0,0.00104938818086451
X,EOG0917051O,AGAP000444,7822875,7823977,0,0.00104938818086451
X,EOG0917052X,AGAP000445,7834240,7835573,0,0.00104938818086451
X,EOG091701T7,AGAP000446,7840900,7843485,0,0.00104938818086451
X,EOG091702N4,AGAP000447,7850066,7854150,0,0.00104938818086451
X,EOG091706AC,AGAP000448,7854205,7855196,0,0.00104938818086451
X,EOG091700A4,AGAP013275,7860156,7871725,0,0.00104938818086451
X,EOG09170782,AGAP000456,7924267,7926877,0,0.00104938818086451
X,EOG091707JF,AGAP000457,7931088,7934574,0,0.00104938818086451
X,EOG091702XG,AGAP000454,7936104,7938841,0,0.00104938818086451
X,EOG091702SQ,AGAP000458,7945988,7947791,0,0.00104938818086451
X,EOG0917054B,AGAP000460,7957856,7962564,0,0.00104938818086451
X,EOG0917005A,AGAP000461,7976853,8003775,0,0.00104938818086451
X,EOG091707MP,AGAP000462,8017977,8020420,0,0.00104938818086451
X,EOG09170184,AGAP000463,8024933,8035855,0,0.00104938818086451
X,EOG091702B9,AGAP000466,8049063,8054137,0,0.00104938818086451
X,EOG091707WM,AGAP000469,8098468,8102477,0,0.00104938818086451
X,EOG0917078Z,AGAP000470,8105454,8109526,0,0.00104938818086451
X,EOG091701G7,AGAP000472,8124550,8133009,0,0.00104938818086451
X,EOG091704F2,AGAP000473,8188246,8189818,0,0.00104938818086451
X,EOG091703SC,AGAP000474,8221968,8225382,0,0.00104938818086451
X,EOG091705X1,AGAP013210,8242006,8255650,0,0.00104938818086451
X,EOG091702JS,AGAP000476,8271710,8275820,0,0.00104938818086451
X,EOG091705OD,AGAP000478,8423228,8424268,0.386,0.00104938818086451
X,EOG091704WO,AGAP000479,8426440,8427705,0,0.00104938818086451
X,EOG0917058F,AGAP000480,8427945,8429151,0,0.00104938818086451
X,EOG091701RN,AGAP000481,8432930,8435853,0,0.00104938818086451
X,EOG091709G0,AGAP000482,8438721,8439428,0,0.00104938818086451
X,EOG091700TW,AGAP000483,8442607,8451330,0,0.00104938818086451
X,EOG0917066G,AGAP000484,8487286,8509533,0,0.00104938818086451
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
X,EOG091705SP,AGAP000699,12542919,12545464,0,0
X,EOG091707H8,AGAP000700,12550343,12555739,0,0
X,EOG0917019A,AGAP000702,12563065,12570020,0,0
X,EOG09170228,AGAP000703,12597182,12610383,0,0
X,EOG09170415,AGAP013449,12626285,12627237,0,0
X,EOG091701L8,AGAP000707,12660502,12671546,0,0
X,EOG091700KW,AGAP000708,12682362,12697813,0,0
X,EOG091701HY,AGAP000711,12700363,12706040,0,0
X,EOG091703VZ,AGAP000713,12728756,12742680,0,0
X,EOG0917037K,AGAP013154,12751181,12753181,0,0
X,EOG091702HZ,AGAP000714,12757892,12760135,0,0
